,ID,Tower,Floor,Unit,Area,Flat Type,No. of Rooms,Price,Price/SA,PL_no,Date_PASP,Date_ASP,Trans_Price,Payment_Terms,first_sale
1234,One_VicTower 2A19F,Tower 2A,19,F,445,,,"12,196,000","27,407",PL1,03/07/2021,03/07/2021,"$10,549,000",A,03/07/2021
1235,One_VicTower 2A19G,Tower 2A,19,G,482,,,"13,140,000","27,261",PL1,03/07/2021,03/07/2021,"$11,891,000",C,03/07/2021
1236,One_VicTower 2A20G,Tower 2A,20,G,482,,,"13,224,000","27,436",PL1,03/07/2021,03/07/2021,"$12,099,000",D,03/07/2021
1237,One_VicTower 2A21G,Tower 2A,21,G,482,,,"13,308,000","27,610",PL1,03/07/2021,03/07/2021,"$11,511,000",A,03/07/2021
1238,One_VicTower 2A22G,Tower 2A,22,G,482,,,"13,391,000","27,782",PL1,03/07/2021,03/07/2021,"$12,118,000",C,03/07/2021
1239,One_VicTower 2B1D,Tower 2B,1,D,457,,,"11,337,000","24,807",PL1,03/07/2021,03/07/2021,"$10,259,000",C,03/07/2021
1240,One_VicTower 2B1K,Tower 2B,1,K,457,,,"11,271,000","24,663",PL1,03/07/2021,03/07/2021,"$10,200,000",C,03/07/2021
1241,One_VicTower 2B2D,Tower 2B,2,D,457,,,"11,680,000","25,558",PL1,03/07/2021,03/07/2021,"$10,570,000",C,03/07/2021
1242,One_VicTower 2B2K,Tower 2B,2,K,457,,,"11,483,000","25,127",PL1,03/07/2021,03/07/2021,"$10,506,000",D,03/07/2021
1243,One_VicTower 2B3D,Tower 2B,3,D,457,,,"11,759,000","25,731",PL1,03/07/2021,03/07/2021,"$10,289,000",B,03/07/2021
1244,One_VicTower 2B3K,Tower 2B,3,K,457,,,"11,561,000","25,298",PL1,03/07/2021,03/07/2021,"$10,000,000",A,03/07/2021
1245,One_VicTower 2B5D,Tower 2B,5,D,457,,,"11,839,000","25,906",PL1,03/07/2021,03/07/2021,"$10,359,000",B,03/07/2021
1246,One_VicTower 2B5K,Tower 2B,5,K,457,,,"11,641,000","25,473",PL1,03/07/2021,03/07/2021,"$10,069,000",A,03/07/2021
1247,One_VicTower 2B6D,Tower 2B,6,D,457,,,"11,917,000","26,077",PL1,03/07/2021,03/07/2021,"$10,308,000",A,03/07/2021
1248,One_VicTower 2B6K,Tower 2B,6,K,457,,,"11,720,000","25,646",PL1,03/07/2021,03/07/2021,"$10,137,000",A,03/07/2021
1249,One_VicTower 2B7D,Tower 2B,7,D,457,,,"11,997,000","26,252",PL1,03/07/2021,03/07/2021,"$10,377,000",A,03/07/2021
1250,One_VicTower 2B7K,Tower 2B,7,K,457,,,"11,799,000","25,818",PL1,03/07/2021,03/07/2021,"$10,206,000",A,03/07/2021
1251,One_VicTower 2B8D,Tower 2B,8,D,457,,,"12,155,000","26,597",PL1,03/07/2021,03/07/2021,"$11,000,000",C,03/07/2021
1252,One_VicTower 2B8K,Tower 2B,8,K,457,,,"11,958,000","26,166",PL1,03/07/2021,03/07/2021,"$10,821,000",C,03/07/2021
1253,One_VicTower 2B9D,Tower 2B,9,D,457,,,"12,155,000","26,597",PL1,03/07/2021,03/07/2021,"$11,000,000",C,03/07/2021
1254,One_VicTower 2B9K,Tower 2B,9,K,457,,,"11,958,000","26,166",PL1,03/07/2021,03/07/2021,"$10,343,000",A,03/07/2021
1255,One_VicTower 2B10D,Tower 2B,10,D,457,,,"12,234,000","26,770",PL1,03/07/2021,03/07/2021,"$10,582,000",A,03/07/2021
1256,One_VicTower 2B10K,Tower 2B,10,K,457,,,"12,168,000","26,626",PL1,03/07/2021,03/07/2021,"$11,012,000",C,03/07/2021
1257,One_VicTower 2B11D,Tower 2B,11,D,457,,,"12,314,000","26,945",PL1,03/07/2021,03/07/2021,"$11,144,000",C,03/07/2021
1258,One_VicTower 2B12D,Tower 2B,12,D,457,,,"12,392,000","27,116",PL1,03/07/2021,03/07/2021,"$11,214,000",C,03/07/2021
1259,One_VicTower 2B15D,Tower 2B,15,D,457,,,"12,472,000","27,291",PL1,03/07/2021,03/07/2021,"$10,788,000",A,03/07/2021
1260,One_VicTower 2B16D,Tower 2B,16,D,457,,,"12,551,000","27,464",PL1,03/07/2021,03/07/2021,"$11,358,000",C,03/07/2021
1261,One_VicTower 1A1D,Tower 1A,1,D,444,,,"11,355,000","25,574",PL2,03/07/2021,03/07/2021,"$9,822,000",A,03/07/2021
1262,One_VicTower 1A1E,Tower 1A,1,E,426,,,"11,009,000","25,843",PL2,03/07/2021,03/07/2021,"$9,963,000",C,03/07/2021
1263,One_VicTower 1A1G,Tower 1A,1,G,765,,,"20,817,000","27,212",PL2,03/07/2021,03/07/2021,"$18,839,000",C,03/07/2021
1264,One_VicTower 1A2D,Tower 1A,2,D,444,,,"11,699,000","26,349",PL2,03/07/2021,03/07/2021,"$10,587,000",C,03/07/2021
1265,One_VicTower 1A2E,Tower 1A,2,E,426,,,"11,342,000","26,624",PL2,03/07/2021,03/07/2021,"$9,810,000",A,03/07/2021
1266,One_VicTower 1A2G,Tower 1A,2,G,765,,,"21,182,000","27,689",PL2,03/07/2021,03/07/2021,"$18,322,000",A,03/07/2021
1267,One_VicTower 1A3D,Tower 1A,3,D,444,,,"11,910,000","26,824",PL2,03/07/2021,03/07/2021,"$10,302,000",A,03/07/2021
1268,One_VicTower 1A3E,Tower 1A,3,E,426,,,"11,546,000","27,103",PL2,03/07/2021,03/07/2021,"$9,987,000",A,03/07/2021
1269,One_VicTower 1A3G,Tower 1A,3,G,765,,,"21,318,000","27,867",PL2,03/07/2021,03/07/2021,"$18,440,000",A,03/07/2021
1270,One_VicTower 1A5E,Tower 1A,5,E,426,,,"11,624,000","27,286",PL2,03/07/2021,03/07/2021,"$10,054,000",A,03/07/2021
1271,One_VicTower 1A5G,Tower 1A,5,G,765,,,"21,455,000","28,046",PL2,03/07/2021,03/07/2021,"$18,558,000",A,03/07/2021
1272,One_VicTower 1A6D,Tower 1A,6,D,444,,,"12,069,000","27,182",PL2,03/07/2021,03/07/2021,"$10,439,000",A,03/07/2021
1273,One_VicTower 1A6E,Tower 1A,6,E,426,,,"11,700,000","27,465",PL2,03/07/2021,03/07/2021,"$10,588,000",C,03/07/2021
1274,One_VicTower 1A6G,Tower 1A,6,G,765,,,"21,591,000","28,224",PL2,03/07/2021,03/07/2021,"$18,676,000",A,03/07/2021
1275,One_VicTower 1A7D,Tower 1A,7,D,444,,,"12,148,000","27,360",PL2,03/07/2021,03/07/2021,"$10,508,000",A,03/07/2021
1276,One_VicTower 1A7E,Tower 1A,7,E,426,,,"11,777,000","27,646",PL2,03/07/2021,03/07/2021,"$10,658,000",C,03/07/2021
1277,One_VicTower 1A7G,Tower 1A,7,G,765,,,"21,728,000","28,403",PL2,03/07/2021,03/07/2021,"$18,794,000",A,03/07/2021
1278,One_VicTower 1A8D,Tower 1A,8,D,444,,,"12,307,000","27,718",PL2,03/07/2021,03/07/2021,"$11,137,000",C,03/07/2021
1279,One_VicTower 1A8E,Tower 1A,8,E,426,,,"11,931,000","28,007",PL2,03/07/2021,03/07/2021,"$10,797,000",C,03/07/2021
1280,One_VicTower 1A8G,Tower 1A,8,G,765,,,"22,002,000","28,761",PL2,03/07/2021,03/07/2021,"$19,251,000",B,03/07/2021
1281,One_VicTower 1A9D,Tower 1A,9,D,444,,,"12,307,000","27,718",PL2,03/07/2021,03/07/2021,"$11,260,000",D,03/07/2021
1282,One_VicTower 1A9E,Tower 1A,9,E,426,,,"11,931,000","28,007",PL2,03/07/2021,03/07/2021,"$10,797,000",C,03/07/2021
1283,One_VicTower 1A9G,Tower 1A,9,G,765,,,"22,002,000","28,761",PL2,03/07/2021,03/07/2021,"$19,911,000",C,03/07/2021
1284,One_VicTower 1A10D,Tower 1A,10,D,444,,,"12,387,000","27,899",PL2,03/07/2021,03/07/2021,"$10,714,000",A,03/07/2021
1285,One_VicTower 1A10E,Tower 1A,10,E,426,,,"12,007,000","28,185",PL2,03/07/2021,03/07/2021,"$10,866,000",C,03/07/2021
1286,One_VicTower 1A11D,Tower 1A,11,D,444,,,"12,465,000","28,074",PL2,03/07/2021,03/07/2021,"$10,782,000",A,03/07/2021
1287,One_VicTower 1A11E,Tower 1A,11,E,426,,,"12,085,000","28,369",PL2,03/07/2021,03/07/2021,"$10,453,000",A,03/07/2021
1288,One_VicTower 1A12D,Tower 1A,12,D,444,,,"12,545,000","28,255",PL2,03/07/2021,03/07/2021,"$11,353,000",C,03/07/2021
1289,One_VicTower 1A12E,Tower 1A,12,E,426,,,"12,162,000","28,549",PL2,03/07/2021,03/07/2021,"$11,006,000",C,03/07/2021
1290,One_VicTower 1A15D,Tower 1A,15,D,444,,,"12,625,000","28,435",PL2,03/07/2021,03/07/2021,"$10,920,000",A,03/07/2021
1291,One_VicTower 1A16D,Tower 1A,16,D,444,,,"12,703,000","28,610",PL2,03/07/2021,03/07/2021,"$11,623,000",D,03/07/2021
1292,One_VicTower 1A17C,Tower 1A,17,C,438,,,"12,480,000","28,493",PL2,03/07/2021,03/07/2021,"$10,920,000",B,03/07/2021
1293,One_VicTower 1A17D,Tower 1A,17,D,444,,,"12,783,000","28,791",PL2,03/07/2021,03/07/2021,"$11,185,000",B,03/07/2021
1294,One_VicTower 1A18C,Tower 1A,18,C,438,,,"12,636,000","28,849",PL2,03/07/2021,03/07/2021,"$11,435,000",C,03/07/2021
1295,One_VicTower 1A18D,Tower 1A,18,D,444,,,"12,942,000","29,149",PL2,03/07/2021,03/07/2021,"$11,194,000",A,03/07/2021
1296,One_VicTower 1A19C,Tower 1A,19,C,438,,,"12,636,000","28,849",PL2,03/07/2021,03/07/2021,"$11,435,000",C,03/07/2021
1297,One_VicTower 1A20C,Tower 1A,20,C,438,,,"12,715,000","29,030",PL2,03/07/2021,03/07/2021,"$11,634,000",D,03/07/2021
1298,One_VicTower 1A21B,Tower 1A,21,B,444,,,"12,574,000","28,320",PL2,03/07/2021,03/07/2021,"$10,876,000",A,03/07/2021
1299,One_VicTower 1A21C,Tower 1A,21,C,438,,,"12,792,000","29,205",PL2,03/07/2021,03/07/2021,"$11,065,000",A,03/07/2021
1300,One_VicTower 1A22B,Tower 1A,22,B,444,,,"12,653,000","28,498",PL2,03/07/2021,03/07/2021,"$10,944,000",A,03/07/2021
1301,One_VicTower 1A22C,Tower 1A,22,C,438,,,"12,871,000","29,386",PL2,03/07/2021,03/07/2021,"$11,648,000",C,03/07/2021
1302,One_VicTower 1A23B,Tower 1A,23,B,444,,,"12,731,000","28,673",PL2,03/07/2021,03/07/2021,"$11,012,000",A,03/07/2021
1303,One_VicTower 1A25B,Tower 1A,25,B,444,,,"12,810,000","28,851",PL2,03/07/2021,03/07/2021,"$11,593,000",C,03/07/2021
1304,One_VicTower 1B1G,Tower 1B,1,G,338,,,"8,142,000","24,089",PL2,03/07/2021,03/07/2021,"$7,368,000",C,03/07/2021
1305,One_VicTower 1B2G,Tower 1B,2,G,338,,,"8,503,000","25,157",PL2,03/07/2021,03/07/2021,"$7,695,000",C,03/07/2021
1306,One_VicTower 1B3G,Tower 1B,3,G,338,,,"8,765,000","25,932",PL2,03/07/2021,03/07/2021,"$7,581,000",A,03/07/2021
1307,One_VicTower 1B5G,Tower 1B,5,G,338,,,"8,927,000","26,411",PL2,03/07/2021,03/07/2021,"$8,078,000",C,03/07/2021
1308,One_VicTower 1B6G,Tower 1B,6,G,338,,,"8,987,000","26,589",PL2,03/07/2021,03/07/2021,"$8,133,000",C,03/07/2021
1309,One_VicTower 1B7G,Tower 1B,7,G,338,,,"9,047,000","26,766",PL2,03/07/2021,03/07/2021,"$7,825,000",A,03/07/2021
1310,One_VicTower 1B8G,Tower 1B,8,G,338,,,"9,168,000","27,124",PL2,03/07/2021,03/07/2021,"$7,930,000",A,03/07/2021
1311,One_VicTower 1B9G,Tower 1B,9,G,338,,,"9,168,000","27,124",PL2,03/07/2021,03/07/2021,"$8,297,000",C,03/07/2021
1312,One_VicTower 1B10G,Tower 1B,10,G,338,,,"9,228,000","27,302",PL2,03/07/2021,03/07/2021,"$7,982,000",A,03/07/2021
1313,One_VicTower 1B18F,Tower 1B,18,F,330,,,"9,422,000","28,552",PL2,03/07/2021,03/07/2021,"$8,526,000",C,03/07/2021
1314,One_VicTower 1B19F,Tower 1B,19,F,330,,,"9,422,000","28,552",PL2,03/07/2021,03/07/2021,"$8,150,000",A,03/07/2021
1315,One_VicTower 1B20F,Tower 1B,20,F,330,,,"9,481,000","28,730",PL2,03/07/2021,03/07/2021,"$8,201,000",A,03/07/2021
1316,One_VicTower 1B21E,Tower 1B,21,E,330,,,"9,540,000","28,909",PL2,03/07/2021,03/07/2021,"$8,633,000",C,03/07/2021
1317,One_VicTower 1B21F,Tower 1B,21,F,330,,,"9,540,000","28,909",PL2,03/07/2021,03/07/2021,"$8,633,000",C,03/07/2021
1318,One_VicTower 1B22E,Tower 1B,22,E,330,,,"9,599,000","29,088",PL2,03/07/2021,03/07/2021,"$8,687,000",C,03/07/2021
1319,One_VicTower 1B22F,Tower 1B,22,F,330,,,"9,599,000","29,088",PL2,03/07/2021,03/07/2021,"$8,687,000",C,03/07/2021
1320,One_VicTower 1B23E,Tower 1B,23,E,330,,,"9,658,000","29,267",PL2,03/07/2021,03/07/2021,"$8,740,000",C,03/07/2021
1321,One_VicTower 1B23F,Tower 1B,23,F,330,,,"9,658,000","29,267",PL2,03/07/2021,03/07/2021,"$8,740,000",C,03/07/2021
1322,One_VicTower 1B25E,Tower 1B,25,E,330,,,"9,717,000","29,445",PL2,03/07/2021,03/07/2021,"$8,405,000",A,03/07/2021
1323,One_VicTower 1B25F,Tower 1B,25,F,330,,,"9,717,000","29,445",PL2,03/07/2021,03/07/2021,"$8,793,000",C,03/07/2021
1324,One_VicTower 1B26E,Tower 1B,26,E,330,,,"9,776,000","29,624",PL2,03/07/2021,03/07/2021,"$8,847,000",C,03/07/2021
1325,One_VicTower 1B26F,Tower 1B,26,F,330,,,"9,776,000","29,624",PL2,03/07/2021,03/07/2021,"$8,847,000",C,03/07/2021
1326,One_VicTower 1B27E,Tower 1B,27,E,330,,,"9,835,000","29,803",PL2,03/07/2021,03/07/2021,"$8,900,000",C,03/07/2021
1327,One_VicTower 1B27F,Tower 1B,27,F,330,,,"9,835,000","29,803",PL2,03/07/2021,03/07/2021,"$8,900,000",C,03/07/2021
1328,One_VicTower 1B28F,Tower 1B,28,F,330,,,"9,953,000","30,161",PL2,03/07/2021,03/07/2021,"$9,007,000",C,03/07/2021
1329,One_VicTower 2A1E,Tower 2A,1,E,332,,,"8,688,000","26,169",PL2,03/07/2021,03/07/2021,"$7,862,000",C,03/07/2021
1330,One_VicTower 2A2E,Tower 2A,2,E,332,,,"8,946,000","26,946",PL2,03/07/2021,03/07/2021,"$7,738,000",A,03/07/2021
1331,One_VicTower 2A3E,Tower 2A,3,E,332,,,"9,005,000","27,123",PL2,03/07/2021,03/07/2021,"$8,149,000",C,03/07/2021
1332,One_VicTower 2A5E,Tower 2A,5,E,332,,,"9,064,000","27,301",PL2,03/07/2021,03/07/2021,"$8,202,000",C,03/07/2021
1333,One_VicTower 2A6E,Tower 2A,6,E,332,,,"9,123,000","27,479",PL2,03/07/2021,03/07/2021,"$8,256,000",C,03/07/2021
1334,One_VicTower 2A7E,Tower 2A,7,E,332,,,"9,183,000","27,660",PL2,03/07/2021,03/07/2021,"$8,310,000",C,03/07/2021
1335,One_VicTower 2A8E,Tower 2A,8,E,332,,,"9,301,000","28,015",PL2,03/07/2021,03/07/2021,"$8,045,000",A,03/07/2021
1336,One_VicTower 2A9E,Tower 2A,9,E,332,,,"9,301,000","28,015",PL2,03/07/2021,03/07/2021,"$8,045,000",A,03/07/2021
1337,One_VicTower 2A10E,Tower 2A,10,E,332,,,"9,361,000","28,196",PL2,03/07/2021,03/07/2021,"$8,097,000",A,03/07/2021
1338,One_VicTower 2A11E,Tower 2A,11,E,332,,,"9,420,000","28,373",PL2,03/07/2021,03/07/2021,"$8,525,000",C,03/07/2021
1339,One_VicTower 2A12E,Tower 2A,12,E,332,,,"9,479,000","28,551",PL2,03/07/2021,03/07/2021,"$8,199,000",A,03/07/2021
1340,One_VicTower 2A15E,Tower 2A,15,E,332,,,"9,539,000","28,732",PL2,03/07/2021,03/07/2021,"$8,632,000",C,03/07/2021
1341,One_VicTower 2A16E,Tower 2A,16,E,332,,,"9,598,000","28,910",PL2,03/07/2021,03/07/2021,"$8,686,000",C,03/07/2021
1342,One_VicTower 2A17E,Tower 2A,17,E,332,,,"9,657,000","29,087",PL2,03/07/2021,03/07/2021,"$8,739,000",C,03/07/2021
1343,One_VicTower 2A20F,Tower 2A,20,F,445,,,"12,523,000","28,142",PL2,03/07/2021,03/07/2021,"$11,333,000",C,03/07/2021
1344,One_VicTower 2A21F,Tower 2A,21,F,445,,,"12,603,000","28,321",PL2,03/07/2021,03/07/2021,"$10,901,000",A,03/07/2021
1345,One_VicTower 2A22F,Tower 2A,22,F,445,,,"12,681,000","28,497",PL2,03/07/2021,03/07/2021,"$10,969,000",A,03/07/2021
1346,One_VicTower 2A23F,Tower 2A,23,F,445,,,"12,760,000","28,674",PL2,03/07/2021,03/07/2021,"$11,547,000",C,03/07/2021
1347,One_VicTower 2A23G,Tower 2A,23,G,482,,,"13,750,000","28,527",PL2,03/07/2021,03/07/2021,"$12,443,000",C,03/07/2021
1348,One_VicTower 2A25G,Tower 2A,25,G,482,,,"13,835,000","28,703",PL2,03/07/2021,03/07/2021,"$12,520,000",C,03/07/2021
1349,One_VicTower 2A26G,Tower 2A,26,G,482,,,"13,920,000","28,880",PL2,03/07/2021,03/07/2021,"$12,040,000",A,03/07/2021
1350,One_VicTower 2A27G,Tower 2A,27,G,482,,,"14,005,000","29,056",PL2,03/07/2021,03/07/2021,"$12,814,000",D,03/07/2021
1351,One_VicTower 2B1J,Tower 2B,1,J,451,,,"11,736,000","26,022",PL2,03/07/2021,03/07/2021,"$10,738,000",D,03/07/2021
1352,One_VicTower 2B2J,Tower 2B,2,J,451,,,"11,951,000","26,499",PL2,03/07/2021,03/07/2021,"$10,935,000",D,03/07/2021
1353,One_VicTower 2B3J,Tower 2B,3,J,451,,,"12,031,000","26,676",PL2,03/07/2021,03/07/2021,"$10,888,000",C,03/07/2021
1354,One_VicTower 2B5J,Tower 2B,5,J,451,,,"12,111,000","26,854",PL2,03/07/2021,03/07/2021,"$10,476,000",A,03/07/2021
1355,One_VicTower 2B6J,Tower 2B,6,J,451,,,"12,192,000","27,033",PL2,03/07/2021,03/07/2021,"$10,546,000",A,03/07/2021
1356,One_VicTower 2B7J,Tower 2B,7,J,451,,,"12,273,000","27,213",PL2,03/07/2021,03/07/2021,"$11,107,000",C,03/07/2021
1357,One_VicTower 2B8J,Tower 2B,8,J,451,,,"12,434,000","27,570",PL2,03/07/2021,03/07/2021,"$10,755,000",A,03/07/2021
1358,One_VicTower 2B9J,Tower 2B,9,J,451,,,"12,434,000","27,570",PL2,03/07/2021,03/07/2021,"$10,879,000",B,03/07/2021
1359,One_VicTower 2B10J,Tower 2B,10,J,451,,,"12,649,000","28,047",PL2,03/07/2021,03/07/2021,"$11,573,000",D,03/07/2021
1360,One_VicTower 2B11J,Tower 2B,11,J,451,,,"13,132,000","29,118",PL2,03/07/2021,03/07/2021,"$11,490,000",B,03/07/2021
1361,One_VicTower 2B12J,Tower 2B,12,J,451,,,"13,347,000","29,594",PL2,03/07/2021,03/07/2021,"$12,079,000",C,03/07/2021
1362,One_VicTower 2B15J,Tower 2B,15,J,451,,,"13,427,000","29,772",PL2,03/07/2021,03/07/2021,"$11,614,000",A,03/07/2021
1363,One_VicTower 2B16J,Tower 2B,16,J,451,,,"13,508,000","29,951",PL2,03/07/2021,03/07/2021,"$12,224,000",C,03/07/2021
1364,One_VicTower 2B17J,Tower 2B,17,J,451,,,"13,589,000","30,131",PL2,03/07/2021,03/07/2021,"$11,890,000",B,03/07/2021
1365,One_VicTower 2B18J,Tower 2B,18,J,451,,,"13,750,000","30,488",PL2,03/07/2021,03/07/2021,"$12,031,000",B,03/07/2021
1366,One_VicTower 1A10G,Tower 1A,10,G,765,,,"22,366,000","29,237",PL3,03/07/2021,03/07/2021,"$20,241,000",C,03/07/2021
1367,One_VicTower 1A11G,Tower 1A,11,G,765,,,"23,185,000","30,307",PL3,03/07/2021,03/07/2021,"$20,982,000",C,03/07/2021
1368,One_VicTower 1A12G,Tower 1A,12,G,765,,,"23,550,000","30,784",PL3,03/07/2021,03/07/2021,"$20,370,000",A,03/07/2021
1369,One_VicTower 1A15E,Tower 1A,15,E,426,,,"12,239,000","28,730",PL3,03/07/2021,03/07/2021,"$10,586,000",A,03/07/2021
1370,One_VicTower 1A15G,Tower 1A,15,G,765,,,"23,687,000","30,963",PL3,03/07/2021,03/07/2021,"$21,436,000",C,03/07/2021
1371,One_VicTower 1A16A,Tower 1A,16,A,643,,,"19,833,000","30,844",PL3,03/07/2021,03/07/2021,"$17,155,000",A,03/07/2021
1372,One_VicTower 1A16E,Tower 1A,16,E,426,,,"12,316,000","28,911",PL3,03/07/2021,03/07/2021,"$11,145,000",C,03/07/2021
1373,One_VicTower 1A16G,Tower 1A,16,G,765,,,"23,824,000","31,142",PL3,03/07/2021,03/07/2021,"$20,607,000",A,03/07/2021
1374,One_VicTower 1A17A,Tower 1A,17,A,643,,,"19,947,000","31,022",PL3,03/07/2021,03/07/2021,"$18,052,000",C,03/07/2021
1375,One_VicTower 1A17E,Tower 1A,17,E,426,,,"12,392,000","29,089",PL3,03/07/2021,03/07/2021,"$11,214,000",C,03/07/2021
1376,One_VicTower 1A17G,Tower 1A,17,G,765,,,"23,960,000","31,320",PL3,03/07/2021,03/07/2021,"$21,683,000",C,03/07/2021
1377,One_VicTower 1A18A,Tower 1A,18,A,643,,,"20,177,000","31,379",PL3,03/07/2021,03/07/2021,"$18,260,000",C,03/07/2021
1378,One_VicTower 1A18E,Tower 1A,18,E,426,,,"12,546,000","29,451",PL3,03/07/2021,03/07/2021,"$11,354,000",C,03/07/2021
1379,One_VicTower 1A18G,Tower 1A,18,G,765,,,"24,234,000","31,678",PL3,03/07/2021,03/07/2021,"$21,931,000",C,03/07/2021
1380,One_VicTower 1A19A,Tower 1A,19,A,643,,,"20,177,000","31,379",PL3,03/07/2021,03/07/2021,"$18,260,000",C,03/07/2021
1381,One_VicTower 1A19D,Tower 1A,19,D,444,,,"12,942,000","29,149",PL3,03/07/2021,03/07/2021,"$11,194,000",A,03/07/2021
1382,One_VicTower 1A19G,Tower 1A,19,G,765,,,"24,234,000","31,678",PL3,03/07/2021,03/07/2021,"$21,931,000",C,03/07/2021
1383,One_VicTower 1A20A,Tower 1A,20,A,643,,,"20,292,000","31,558",PL3,03/07/2021,03/07/2021,"$17,552,000",A,03/07/2021
1384,One_VicTower 1A20D,Tower 1A,20,D,444,,,"13,021,000","29,327",PL3,03/07/2021,03/07/2021,"$11,784,000",C,03/07/2021
1385,One_VicTower 1A20G,Tower 1A,20,G,765,,,"24,370,000","31,856",PL3,03/07/2021,03/07/2021,"$21,080,000",A,03/07/2021
1386,One_VicTower 1A21A,Tower 1A,21,A,643,,,"20,407,000","31,737",PL3,03/07/2021,03/07/2021,"$17,652,000",A,03/07/2021
1387,One_VicTower 1A21D,Tower 1A,21,D,444,,,"13,100,000","29,505",PL3,03/07/2021,03/07/2021,"$11,855,000",C,03/07/2021
1388,One_VicTower 1A22A,Tower 1A,22,A,643,,,"20,522,000","31,916",PL3,03/07/2021,03/07/2021,"$17,751,000",A,03/07/2021
1389,One_VicTower 1A22D,Tower 1A,22,D,444,,,"13,180,000","29,685",PL3,03/07/2021,03/07/2021,"$11,400,000",A,03/07/2021
1390,One_VicTower 1A23A,Tower 1A,23,A,643,,,"20,636,000","32,093",PL3,03/07/2021,03/07/2021,"$17,850,000",A,03/07/2021
1391,One_VicTower 1A23C,Tower 1A,23,C,438,,,"12,950,000","29,566",PL3,03/07/2021,03/07/2021,"$11,719,000",C,03/07/2021
1392,One_VicTower 1A25C,Tower 1A,25,C,438,,,"13,027,000","29,742",PL3,03/07/2021,03/07/2021,"$11,789,000",C,03/07/2021
1393,One_VicTower 1A26B,Tower 1A,26,B,444,,,"13,021,000","29,327",PL3,03/07/2021,03/07/2021,"$11,784,000",C,03/07/2021
1394,One_VicTower 1A26C,Tower 1A,26,C,438,,,"13,106,000","29,922",PL3,03/07/2021,03/07/2021,"$11,860,000",C,03/07/2021
1395,One_VicTower 1A27B,Tower 1A,27,B,444,,,"13,100,000","29,505",PL3,03/07/2021,03/07/2021,"$11,855,000",C,03/07/2021
1396,One_VicTower 1A27C,Tower 1A,27,C,438,,,"13,184,000","30,100",PL3,03/07/2021,03/07/2021,"$11,404,000",A,03/07/2021
1397,One_VicTower 1A28B,Tower 1A,28,B,444,,,"13,258,000","29,860",PL3,04/07/2021,04/07/2021,"$11,998,000",C,03/07/2021
1398,One_VicTower 1A28C,Tower 1A,28,C,438,,,"13,340,000","30,457",PL3,03/07/2021,03/07/2021,"$12,206,000",D,03/07/2021
1399,One_VicTower 1A29B,Tower 1A,29,B,444,,,"13,258,000","29,860",PL3,04/07/2021,04/07/2021,"$11,468,000",A,03/07/2021
1400,One_VicTower 1A29C,Tower 1A,29,C,438,,,"13,340,000","30,457",PL3,,,,,03/07/2021
1401,One_VicTower 1A30B,Tower 1A,30,B,444,,,"13,338,000","30,041",PL3,,,,,03/07/2021
1402,One_VicTower 1A30C,Tower 1A,30,C,438,,,"13,419,000","30,637",PL3,,,,,03/07/2021
1403,One_VicTower 1A31B,Tower 1A,31,B,444,,,"13,418,000","30,221",PL3,,,,,03/07/2021
1404,One_VicTower 1A31C,Tower 1A,31,C,438,,,"13,496,000","30,813",PL3,,,,,03/07/2021
1405,One_VicTower 1A32B,Tower 1A,32,B,444,,,"13,496,000","30,396",PL3,,,,,03/07/2021
1406,One_VicTower 1A32C,Tower 1A,32,C,438,,,"13,575,000","30,993",PL3,,,,,03/07/2021
1407,One_VicTower 1A33B,Tower 1A,33,B,444,,,"13,576,000","30,577",PL3,,,,,03/07/2021
1408,One_VicTower 1A33C,Tower 1A,33,C,438,,,"13,654,000","31,174",PL3,,,,,03/07/2021
1409,One_VicTower 1A35B,Tower 1A,35,B,444,,,"13,655,000","30,755",PL3,03/07/2021,03/07/2021,"$12,357,000",C,03/07/2021
1410,One_VicTower 1A35C,Tower 1A,35,C,438,,,"13,731,000","31,349",PL3,,,,,03/07/2021
1411,One_VicTower 1A36B,Tower 1A,36,B,444,,,"13,735,000","30,935",PL3,,,,,03/07/2021
1412,One_VicTower 1A36C,Tower 1A,36,C,438,,,"13,810,000","31,530",PL3,,,,,03/07/2021
1413,One_VicTower 1B11G,Tower 1B,11,G,338,,,"9,288,000","27,479",PL3,03/07/2021,03/07/2021,"$8,405,000",C,03/07/2021
1414,One_VicTower 1B12G,Tower 1B,12,G,338,,,"9,348,000","27,657",PL3,03/07/2021,03/07/2021,"$8,459,000",C,03/07/2021
1415,One_VicTower 1B15G,Tower 1B,15,G,338,,,"9,410,000","27,840",PL3,03/07/2021,03/07/2021,"$8,516,000",C,03/07/2021
1416,One_VicTower 1B16G,Tower 1B,16,G,338,,,"9,470,000","28,018",PL3,03/07/2021,03/07/2021,"$8,191,000",A,03/07/2021
1417,One_VicTower 1B17G,Tower 1B,17,G,338,,,"9,530,000","28,195",PL3,03/07/2021,03/07/2021,"$8,243,000",A,03/07/2021
1418,One_VicTower 1B18C,Tower 1B,18,C,460,,,"13,133,000","28,550",PL3,03/07/2021,03/07/2021,"$12,016,000",D,03/07/2021
1419,One_VicTower 1B18G,Tower 1B,18,G,338,,,"9,650,000","28,550",PL3,03/07/2021,03/07/2021,"$8,733,000",C,03/07/2021
